date,gross_ret,net_ret,turnover,n_holdings,n_kept,n_new,illiquid_share,trading_cost,gross_nav,net_nav
2024-04-17,-0.01628597302988357,-0.01790597302988357,0.30000000000000004,20,14,6,0.35,0.0016200000000000003,1.0044621445480568,0.8908083150710304
2024-04-24,0.06990410778696332,0.06816410778696332,0.30000000000000004,20,14,6,0.45,0.0017400000000000004,1.0746781745684686,0.9515294690770553
2024-05-06,-0.05012242318140521,-0.05216242318140521,0.30000000000000004,20,14,6,0.7,0.0020400000000000006,1.0208127003189278,0.9018953862414801
2024-05-13,0.034990354736276395,0.032540354736276395,0.35,20,13,7,0.75,0.00245,1.0565312988223834,0.9312433820447888
2024-05-20,-0.04904338354402689,-0.05059338354402689,0.25,20,15,5,0.55,0.0015500000000000002,1.0047154291079683,0.8841286284441601
2024-05-27,-0.04880176972879464,-0.04996176972879464,0.19999999999999996,20,16,4,0.45,0.0011599999999999998,0.9556835380936741,0.8399559974991979
2024-06-03,-0.029166267940561853,-0.031086267940561855,0.30000000000000004,20,14,6,0.6,0.00192,0.9278098159552498,0.8138449003026559
2024-06-11,0.030166130095231346,0.029006130095231345,0.19999999999999996,20,16,4,0.45,0.0011599999999999998,0.9557982475669886,0.8374513913581753
2024-06-18,-0.06614545474536691,-0.06779545474536691,0.25,20,15,5,0.65,0.00165,0.8925765378368453,0.7806759934539075
2024-06-25,0.03797185506863348,0.03611185506863348,0.30000000000000004,20,14,6,0.55,0.0018600000000000005,0.9264693247692486,0.8088676517850765
2024-07-02,-0.01787051062447072,-0.01907051062447072,0.19999999999999996,20,16,4,0.5,0.0011999999999999997,0.9099128448577135,0.7934421326379185
2024-07-09,0.019718875135262333,0.018398875135262335,0.19999999999999996,20,16,4,0.65,0.0013199999999999998,0.9278553026294342,0.8080405753633799
2024-07-16,-0.03700404004146279,-0.03840404004146279,0.19999999999999996,20,16,4,0.75,0.0013999999999999998,0.893520907858251,0.777008552751998
2024-07-23,0.008407897105883728,0.007007897105883728,0.19999999999999996,20,16,4,0.75,0.0013999999999999998,0.9010335397134789,0.7824537487400757
2024-07-30,0.001522517152574216,-0.000127482847425784,0.25,20,15,5,0.65,0.00165,0.9024053787327372,0.7823539993082073
2024-08-06,0.006074167326271094,0.004094167326271093,0.30000000000000004,20,14,6,0.65,0.0019800000000000004,0.9078867399992869,0.7855570874897524
2024-08-13,-0.0017817557905962004,-0.0037017557905962006,0.30000000000000004,20,14,6,0.6,0.00192,0.9062691075430876,0.7826491469922934
2024-08-20,-0.02820482749965818,-0.02975482749965818,0.25,20,15,5,0.55,0.0015500000000000002,0.8807079436965657,0.7593615566307831
2024-08-27,0.034778087250573415,0.033278087250573414,0.25,20,15,5,0.5,0.0015,0.9113372814047179,0.7846316567670735
2024-09-03,0.013658648122544411,0.012458648122544411,0.19999999999999996,20,16,4,0.5,0.0011999999999999997,0.9237849166523813,0.7944071064845435
2024-09-10,-0.009232643652870154,-0.010432643652870154,0.19999999999999996,20,16,4,0.5,0.0011999999999999997,0.9152559397050335,0.7861193402272826
2024-09-19,0.11093165774670495,0.10965165774670495,0.19999999999999996,20,16,4,0.6,0.0012799999999999997,1.016786798359031,0.8723186290699502
2024-09-26,0.13868489557351008,0.13670489557351007,0.30000000000000004,20,14,6,0.65,0.0019800000000000004,1.1577997693099769,0.9915688561637851
2024-10-10,-0.022587977735493148,-0.024387977735493147,0.30000000000000004,20,14,6,0.5,0.0018000000000000004,1.131647413898644,0.9673864969764543
2024-10-17,0.048449838241404385,0.046589838241404384,0.30000000000000004,20,14,6,0.55,0.0018600000000000005,1.186475548048337,1.012456877387506
2024-10-24,0.08915988527024388,0.08741988527024387,0.30000000000000004,20,14,6,0.45,0.0017400000000000004,1.2922615717882764,1.100965741449791
2024-10-31,0.04922907789216478,0.04742907789216478,0.30000000000000004,20,14,6,0.5,0.0018000000000000004,1.3558784173628926,1.1531835313576182
2024-11-07,-0.03157081301158468,-0.03325081301158468,0.30000000000000004,20,14,6,0.4,0.0016800000000000003,1.3130722333818854,1.1148392413884072
2024-11-14,0.027045314186155432,0.02494531418615543,0.35,20,13,7,0.5,0.0021,1.3485846844828153,1.1426492565318962
2024-11-21,0.018473849872544117,0.016793849872544116,0.30000000000000004,20,14,6,0.4,0.0016800000000000003,1.373498235484363,1.1618387366030671
2024-11-28,0.06657686849356373,0.06489686849356373,0.30000000000000004,20,14,6,0.4,0.0016800000000000003,1.4649414468843471,1.2372384323031247
2024-12-05,0.03749529554762992,0.03563529554762992,0.30000000000000004,20,14,6,0.55,0.0018600000000000005,1.5198698593952484,1.281327789501133
2024-12-12,-0.035359158317811765,-0.03752915831781176,0.35,20,13,7,0.55,0.00217,1.4661285404144215,1.2332406360319332
2024-12-19,-0.058916102151035,-0.060836102151035,0.30000000000000004,20,14,6,0.6,0.00192,1.3797499615608175,1.1582150827214872
2024-12-26,-0.07579423154683895,-0.07703423154683896,0.19999999999999996,20,16,4,0.55,0.0012399999999999998,1.2751728734975347,1.068992873858079
2025-01-03,0.00300060099164023,0.00108060099164023,0.30000000000000004,20,14,6,0.6,0.00192,1.278999158486264,1.0701480286176264
2025-01-10,0.06790556377903603,0.06574556377903604,0.30000000000000004,20,14,6,0.8,0.0021600000000000005,1.3658503174161865,1.1405055140861162
2025-01-17,-0.0036392022158496387,-0.005499202215849639,0.30000000000000004,20,14,6,0.55,0.0018600000000000005,1.3608797119145264,1.134233643635865
2025-01-24,0.08511555784363724,0.08301555784363723,0.30000000000000004,20,14,6,0.75,0.0021000000000000003,1.4767117477522198,1.2283926822873175
2025-02-10,0.021916122820561428,0.019816122820561426,0.30000000000000004,20,14,6,0.75,0.0021000000000000003,1.5090755437865233,1.2527346625514018
2025-02-17,0.004697240782465535,0.003377240782465535,0.19999999999999996,20,16,4,0.65,0.0013199999999999998,1.5161640349746186,1.2569654491433784
2025-02-24,0.0070121910231943614,0.0057321910231943616,0.19999999999999996,20,16,4,0.6,0.0012799999999999997,1.5267956668103577,1.2641706152074237
2025-03-03,0.04009590167784332,0.03769590167784332,0.4,20,12,8,0.5,0.0024000000000000002,1.588013915748943,1.3118246664223014
2025-03-10,0.04562162311431678,0.04442162311431678,0.19999999999999996,20,16,4,0.5,0.0011999999999999997,1.6604616881135317,1.3700980473461772
2025-03-17,-0.0614934521651677,-0.0633534521651677,0.30000000000000004,20,14,6,0.55,0.0018600000000000005,1.5583541667234286,1.2832976062420414
2025-03-24,-0.008994858775872213,-0.010734858775872214,0.30000000000000004,20,14,6,0.45,0.0017400000000000004,1.5443369910709592,1.2695215876716182
2025-03-31,-0.14639856006260182,-0.14755856006260182,0.19999999999999996,20,16,4,0.45,0.0011599999999999998,1.3182482793267596,1.082192810226406
2025-04-08,0.07615615704393831,0.07411615704393831,0.30000000000000004,20,14,6,0.7,0.0020400000000000006,1.41864100231007,1.1624007825009672
2025-04-15,0.016494653549987554,0.014334653549987553,0.30000000000000004,20,14,6,0.8,0.0021600000000000005,1.4420409941549814,1.179063395004353
2025-04-22,0.01562651197947205,0.013036511979472051,0.35,20,13,7,0.85,0.00259,1.464575065025034,1.1944342690778842
2025-04-29,0.05055345192874312,0.04839345192874312,0.30000000000000004,20,14,6,0.8,0.0021600000000000005,1.538614390170813,1.2522370664605482
2025-05-09,0.00568194996408401,0.0035219499640840096,0.30000000000000004,20,14,6,0.8,0.0021600000000000005,1.5473567201497833,1.2566473827517934
2025-05-16,-0.009428923021113311,-0.010868923021113312,0.19999999999999996,20,16,4,0.8,0.0014399999999999997,1.5327668127492886,1.2429889790839808
2025-05-23,0.016448376506111632,0.015128376506111632,0.19999999999999996,20,16,4,0.65,0.0013199999999999998,1.5579783383814616,1.2617933843525106
2025-05-30,0.04313182934223134,0.041811829342231335,0.19999999999999996,20,16,4,0.65,0.0013199999999999998,1.625176794191424,1.3145512740042145
2025-06-09,-0.008771667295440239,-0.009971667295440238,0.19999999999999996,20,16,4,0.5,0.0011999999999999997,1.6109212840565066,1.3014430060570474
2025-06-16,-1.4154252256648459e-06,-0.0012014154252256645,0.19999999999999996,20,16,4,0.5,0.0011999999999999997,1.6109190039178845,1.2998794323545184
2025-06-23,0.07359653231428973,0.07239653231428972,0.19999999999999996,20,16,4,0.5,0.0011999999999999997,1.7294770564454305,1.3939861956836528
2025-06-30,0.0019983256476705353,0.0007983256476705356,0.19999999999999996,20,16,4,0.5,0.0011999999999999997,1.7329331148043832,1.3950990506161656
2025-07-07,0.02533887037384744,0.02409887037384744,0.19999999999999996,20,16,4,0.55,0.0012399999999999998,1.7768436823669593,1.4287193617956422
2025-07-14,0.009045515370017364,0.007845515370017365,0.19999999999999996,20,16,4,0.5,0.0011999999999999997,1.7929161492059278,1.4399284015080513
2025-07-21,-0.0037216949085801545,-0.004961694908580155,0.19999999999999996,20,16,4,0.55,0.0012399999999999998,1.7862434623019168,1.432783916089569
2025-07-28,0.0026230957694122646,0.001343095769412265,0.19999999999999996,20,16,4,0.6,0.0012799999999999997,1.7909289499710213,1.4347082821057509
2025-08-04,0.012992513941223499,0.011672513941223499,0.19999999999999996,20,16,4,0.65,0.0013199999999999998,1.8141976193212606,1.451454934530219
2025-08-11,4.509113659521983e-05,-0.00127490886340478,0.19999999999999996,20,16,4,0.65,0.0013199999999999998,1.8142794235539241,1.4496044617693538
2025-08-18,0.028565470177223086,0.027125470177223086,0.19999999999999996,20,16,4,0.8,0.0014399999999999997,1.8661051683206034,1.4889256643658477
